Rank	State	Rate
1	NEBRASKA	2.6
2	NORTH DAKOTA	3.1
3	UTAH	3.4
4	SOUTH DAKOTA	3.5
5	MINNESOTA	3.7
6	IDAHO	3.8
6	VERMONT	3.8
8	NEW HAMPSHIRE	3.9
8	OKLAHOMA	3.9
10	IOWA	4
11	HAWAII	4.1
11	MONTANA	4.1
11	WYOMING	4.1
14	COLORADO	4.2
14	KANSAS	4.2
14	TEXAS	4.2
17	DELAWARE	4.6
17	WISCONSIN	4.6
19	MAINE	4.8
19	MASSACHUSETTS	4.8
19	VIRGINIA	4.8
22	KENTUCKY	5.1
22	OHIO	5.1
24	PENNSYLVANIA	5.3
25	MARYLAND	5.4
25	NORTH CAROLINA	5.4
25	OREGON	5.4
28	ARKANSAS	5.6
28	MICHIGAN	5.6
28	MISSOURI	5.6
31	ALABAMA	5.7
31	FLORIDA	5.7
31	NEW YORK	5.7
34	INDIANA	5.8
35	WASHINGTON	5.9
36	ILLINOIS	6
37	NEW MEXICO	6.1
38	ARIZONA	6.2
39	GEORGIA	6.3
39	RHODE ISLAND	6.3
39	TENNESSEE	6.3
42	CONNECTICUT	6.4
43	ALASKA	6.5
43	CALIFORNIA	6.5
43	NEW JERSEY	6.5
46	LOUISIANA	6.6
46	WEST VIRGINIA	6.6
48	SOUTH CAROLINA	6.7
49	MISSISSIPPI	6.8
50	NEVADA	7.1
51	DISTRICT OF COLUMBIA	7.7
